Country/Region,Date,Name,Event,Format,Hero,Rank,deck_url
New Zealand,05 Dec 2025,"Ben Thomas – Gravy Bones, Shipwrecked Looter – Store Champions Series Final",Store Champions Series Final,Classic Constructed,"Gravy Bones, Shipwrecked Looter",1st,https://fabtcg.com/decklists/ben-thomas-gravy-bones-shipwrecked-looter-store-champions-final/
New Zealand,05 Dec 2025,"Oliver Berry – Arakni, Marionette – Store Champions Series Final",Store Champions Series Final,Classic Constructed,"Arakni, Marionette",2nd,https://fabtcg.com/decklists/oliver-berry-arakni-marionette-store-champions-final/
Australia,05 Dec 2025,"Amelia Hulin-Bobart – Prism, Awakener of Sol – Store Champions Series Final",Store Champions Series Final,Classic Constructed,"Prism, Awakener of Sol",3rd,https://fabtcg.com/decklists/amelia-hulin-bobart-prism-awakener-of-sol-store-champions-final/
New Zealand,05 Dec 2025,"Thomas Bailey Galbraith – Cindra, Dracai of Retribution – Store Champions Series Final",Store Champions Series Final,Classic Constructed,"Cindra, Dracai of Retribution",3rd,https://fabtcg.com/decklists/thomas-bailey-galbraith-cindra-dracai-of-retribution-store-champions-final/
New Zealand,05 Dec 2025,"Ryan Rinsma – Verdance, Thorn of the Rose – Store Champions Series Final",Store Champions Series Final,Classic Constructed,"Verdance, Thorn of the Rose",5th,https://fabtcg.com/decklists/ryan-rinsma-verdance-thorn-of-the-rose-store-champions-final/
New Zealand,05 Dec 2025,"Justin Wong – Victor Goldmane, High and Mighty – Store Champions Series Final",Store Champions Series Final,Classic Constructed,"Victor Goldmane, High and Mighty",5th,https://fabtcg.com/decklists/justin-wong-victor-goldmane-high-and-mighty-store-champions-final/
New Zealand,05 Dec 2025,"Adam Little – Kayo, Armed and Dangerous – Store Champions Series Final",Store Champions Series Final,Classic Constructed,"Kayo, Armed and Dangerous",5th,https://fabtcg.com/decklists/adam-little-kayo-armed-and-dangerous-store-champions-final/
New Zealand,05 Dec 2025,"Jayden Allan – Arakni, Huntsman – Store Champions Series Final",Store Champions Series Final,Classic Constructed,"Arakni, Huntsman",5th,https://fabtcg.com/decklists/jayden-allan-arakni-huntsman-store-champions-final/
New Zealand,04 Dec 2025,Dumpster Dive – Benji Burp,Dumpster Dive #15,Ultimate Pit Fight,"Benji, the Piercing Wind",,https://fabtcg.com/decklists/dumpster-dive-benji-burp/
New Zealand,04 Dec 2025,Dumpster Dive – The Sickening,Dumpster Dive #15,Ultimate Pit Fight,"Arakni, Solitary Confinement",,https://fabtcg.com/decklists/dumpster-dive-the-sickening/
